// Compost colors for eternal_starlight. You may add your own colors, change existing ones, or remove colors that aren't needed.
abyssal_fruit, #f7ebab
saltpeter_matchbox, #918362
saltpeter_powder, #e6c8b8
scarlet_boat, #9e655f
scarlet_chest_boat, #a06951
scarlet_door, #e18a8e
scarlet_grass, #e180a8
scarlet_hanging_sign, #a1696b
scarlet_sapling, #a56583
scarlet_sign, #985e62
sea_rosa, #fbf0ff
seeking_eye, #7370b8
shadow_snail_meat, #554a70
shadow_snail_shell, #4e6284
shadow_snail_shell_powder, #364754
shattered_sword, #7682a1
shattered_sword_blade, #98a5c5
shivering_gel, #8c82cd
small_glowing_night_sprouts, #ffffff
small_night_sprouts, #575f9b
sonar_bomb, #584ba2
soulit_spectator, #97a4eb
starfall_longbow, #ffe8ff
starlight_flower, #8ab2e7
starlight_mangrove_boat, #865f6e
starlight_mangrove_chest_boat, #8d655c
starlight_mangrove_door, #7f5773
starlight_mangrove_hanging_sign, #84617a
starlight_mangrove_sapling, #3d2d4a
starlight_mangrove_sign, #7f5b79
starlight_silver_coin, #a5aee3
starlight_torchflower, #a891c9
starlit_lily_pad, #c0c0c0
starlit_painting, #cab9c6
stellafly_bush, #96e7ff
sunset_thornbloom, #ffa096
swamp_rose, #394436
swamp_silver_axe, #686980
swamp_silver_boots, #868aca
swamp_silver_chestplate, #9aa0d9
swamp_silver_helmet, #969ad6
swamp_silver_ingot, #f2f4ff
swamp_silver_leggings, #8a8dca
swamp_silver_nugget, #8a90cf
swamp_silver_pickaxe, #62617a
swamp_silver_sickle, #7a7caa
swamp_silver_sword, #ffffff
tall_crescent_grass, #515a93
tall_gladespike, #f5e679
tall_glowing_crescent_grass, #6f7dae
tall_golden_grass, #ca782c
tenacious_petal, #3c3c70
tenacious_vine, #474178
tentacles_coral, #695158
tentacles_coral_fan, #6c555e
terra_crystal, #c37c78
thermal_springstone_axe, #9e6158
thermal_springstone_boots, #514454
thermal_springstone_chestplate, #a2665e
thermal_springstone_hammer, #bf8675
thermal_springstone_helmet, #6b474e
thermal_springstone_hoe, #965451
thermal_springstone_ingot, #72525c
thermal_springstone_leggings, #834350
thermal_springstone_pickaxe, #a15e51
thermal_springstone_scythe, #d07d69
thermal_springstone_shovel, #cf8064
thermal_springstone_sword, #aa7865
thioquartz_cluster, #ffbf68
thioquartz_shard, #ffaf5b
tooth_of_hunger, #2c2023
torreya_boat, #9d6470
torreya_campfire, #824a65
torreya_chest_boat, #9d685e
torreya_door, #af6987
torreya_hanging_sign, #9e667d
torreya_sapling, #a26b89
torreya_sign, #965b73
torreya_vines, #fffff7
tower_squid, #4d5751
tower_squid_air_sac, #6e705b
tower_squid_bucket, #8991a5
tower_squid_skewer, #5c2a11
trapped_soul, #a5b8fa
twilvewyrm_herb, #78b1f7
twining_armor_trim_smithing_template, #70659d
velvetumoss_ball, #ffffff
velvetumoss_villi, #b6e6b6
vividstalk, #835084
voracious_arrow, #392637
wand_of_teleportation, #7684c2
water_crystal, #82a4c3
whisperbloom, #ffafc8
wick_grass, #aaa1b9
wind_crystal, #84c37f
withered_desert_amethysia, #b97dc6
withered_starlight_flower, #8e4665
