// Compost colors for stevescarts. You may add your own colors, change existing ones, or remove colors that aren't needed.
blockadvdetector, #9d948d
module_advanced_sctank, #ffffff
module_advanced_shooter, #bcb4b4
module_advanced_smelter, #8d6f7d
module_advanced_thermal_engine, #f0d0c6
module_basic_drill, #124844
module_basic_farmer, #7c4b41
module_basic_solar_engine, #526e87
module_basic_wood_cutter, #64a772
module_brake_handle, #541e1e
module_bridge_builder, #a5a097
module_cage, #5b5b5b
module_cake_server, #ffffff
module_chunk_loader, #78aebc
module_cleaning_machine, #ee9b4d
module_coal_engine, #767676
module_compact_solar_engine, #55667a
module_crafter, #79a075
module_creative_engine, #91806c
module_creative_hull, #b9b1a7
module_crop_nether_wart, #977d7f
module_divine_shield, #11787d
module_drill_intelligence, #ffebbc
module_dynamite_carrier, #dc2504
module_enchanter, #ded2bb
module_entity_detector_animal, #c3a7a7
module_entity_detector_bat, #8d8983
module_entity_detector_monster, #8c9886
module_entity_detector_player, #ab9a94
module_entity_detector_villager, #a79b91
module_experience_bank, #a5fbaf
module_extreme_melter, #70412f
module_fertilizer, #d3a48e
module_firework_display, #c88e86
module_freezer, #8df8ff
module_front_chest, #8a6f43
module_front_sctank, #ffffff
module_galgadorian_drill, #37191b
module_galgadorian_farmer, #75666f
module_galgadorian_hull, #968280
module_galgadorian_wood_cutter, #708a5e
module_hardened_drill, #41b3e
module_hardened_wood_cutter, #648d68
module_height_controller, #decda0
module_hydrator, #e3ffff
module_incinerator, #cdc6bb
module_information_provider, #575891
module_internal_sctank, #ffffff
module_internal_storage, #8a6e46
module_invisibility_core, #ffd3b6
module_iron_drill, #ffffff
module_large_railer, #5f584e
module_lawn_mower, #c0c0c0
module_liquid_cleaner, #e0f4cd
module_liquid_sensors, #5b5e30
module_mechanical_pig, #e36969
module_melter, #614436
module_milker, #ffffff
module_netherite_wood_cutter, #698c5c
module_note_sequencer, #4e392d
module_open_sctank, #ffffff
module_ore_extractor, #fffbfb
module_planter_range_extender, #daedda
module_power_observer, #ffe3b4
module_pumpkin_chariot, #b4782f
module_railer, #665c51
module_reinforced_hull, #415261
module_seat, #c39e61
module_shooter, #dedcdc
module_side_chests, #91764a
module_side_tanks, #f4ffff
module_smelter, #809b72
module_solar_engine, #5a6f83
module_standard_hull, #686b70
module_steves_arcade, #7897bb
module_thermal_engine, #fff7ed
module_tiny_coal_engine, #797979
module_top_chest, #6f5b3d
module_top_sctank, #ffffff
module_torch_placer, #b9aa86
module_track_remover, #868484
module_wooden_hull, #907650
upgrade_batteries, #a59e97
upgrade_cart_crane, #c0ab93
upgrade_cart_deployer, #a19d98
upgrade_cart_modifier, #aeaa9e
upgrade_cotwo_friendly, #a0ab9b
upgrade_creative_mode, #b8ac9d
upgrade_entropy, #a29aa8
upgrade_experienced_assembler, #cca28d
upgrade_generic_engine, #9d9b98
upgrade_industrial_espionage, #938d86
upgrade_manager_bridge, #a59490
upgrade_module_input, #a2947c
upgrade_module_knowledge, #9e9e9b
upgrade_new_era, #8e8d8a
upgrade_power_crystal, #93b598
upgrade_production_line, #989796
upgrade_quick_demolisher, #989796
upgrade_redstone_control, #a08382
upgrade_solar_panel, #8498b6
upgrade_thermal_engine, #b4968a
